"","group","Refuge","Inspection","Avoidance"
"1","CTRL",0,3.5701388889,0.1181944444
"2","CTRL",-1.7690277778,-1.7225,0.3627777778
"3","CTRL",0.56583333333,-1.8816666667,0.378675
"4","CTRL",0.84536111111,0.1384722222,3.6730555556
"5","CTRL",7.6044444444,-0.8058333333,1.7065277778
"6","CTRL",1.4408333333,0.171558333333,2.8270833333
"7","CTRL",-0.8886111111,1.62125,-0.254530555556
"8","CTRL",1.1088888889,1.9623611111,-1.38102777778
"9","EXP",-65.3108333333,0,54.195
"10","EXP",-1.6470833333,7.056944444,5.7029166667
"11","EXP",-6.8025,-4.7377777778,14.2711111111
"12","EXP",-2.3248611111,8.0208333333,-8.5770833333
"13","EXP",-4.0716666667,31.2286111111,18.9231944444
"14","EXP",-2.67,10.9652777778,-6.9840277778
"15","EXP",-11.1345833333,24.9929166667,-16.0488888889
"16","EXP",0.5865277778,11.1952777778,7.2005555556
